"5";"Exérèse du thymus vestigial, par thoracotomie"
"JFJA001";"Évacuation de collection périrénale, par abord direct"
"JGFA005";"Adénomectomie transvésicale de la prostate, par laparotomie"
"JGFA006";"Vésiculoprostatectomie totale, par laparotomie"
"JGFE002";"Résection d'une hypertrophie de la prostate, par endoscopie"
"JGHJ001";"Biopsie de la prostate, par voie transrectale avec guidage échographique"
"JGQJ001";"Échographie de la prostate et des vésicules séminales, par voie rectale"
"JHCA006";"Suture de rupture du testicule, par abord scrotal"
"JHDA001";"Orchidopexie, par abord scrotal"
"JHEA001";"Abaissement et fixation d'un testicule ectopique non palpable, par abords inguinal et scrotal"
"JHEA002";"Abaissement et fixation d'un testicule ectopique palpable, par abords inguinal et scrotal"
"JHEA009";"Détorsion du cordon spermatique ou exérèse des annexes du testicule, par abord direct"
"JHEA010";"Détorsion du cordon spermatique avec orchidopexie unilatérale ou bilatérale, par abord direct"
"JHFA001";"Exérèse d'un kyste du cordon spermatique chez l'adulte, par abord inguinal"
"JHFA004";"Exérèse d'un kyste de l’épididyme, par abord scrotal"
"JHFA009";"Posthectomie"
"JHFA017";"Orchidectomie, par abord scrotal"
"JHFA018";"Exérèse de lésion de la peau du pénis, du gland ou du sillon balanopréputial, sous anesthésie générale ou locorégionale"
"JHFA019";"Résection d'une hydrocèle abdominoscrotale, par laparotomie ou abord inguinal"
"JHHA003";"Biopsie bilatérale de testicule, par abord direct"
"JHJA001";"Évacuation d'un abcès du scrotum, par abord direct"
"JHMA001";"Plastie du prépuce du pénis [Posthoplastie]"
"JHMA003";"Reconstruction du prépuce du pénis"
"JHMA007";"Phalloplastie par lambeau cutané libre"
"JHNP001";"Destruction de lésion du gland et/ou du prépuce du pénis"
"JHPA001";"Section ou plastie du frein du prépuce du pénis"
"JHPA002";"Désenfouissement du pénis par fixation des fascias"
"JHPA003";"Libération d'adhérences du prépuce du pénis"
"JHQM001";"Échographie transcutanée unilatérale ou bilatérale du contenu des bourses"
"JJCC001";"Salpingonéostomie ou fimbrioplastie, par coelioscopie"
"JJEC001";"Détorsion de l'annexe, par coelioscopie"
"JJFA002";"Résection partielle de l'ovaire, par laparotomie"
"JJFA003";"Ovariectomie unilatérale, par laparotomie"
"JJFA004";"Salpingoovariectomie [Annexectomie], par laparotomie"
"JJFC001";"Salpingectomie partielle ou totale pour grossesse extra-utérine, par coelioscopie"
"JJFC002";"Exérèse de reliquat embryonnaire kystique du ligament large, par coelioscopie"
"JJFC003";"Kystectomie ovarienne intrapéritonéale, par coelioscopie"
"JJFC004";"Résection partielle de l'ovaire, par coelioscopie"
"JJFC005";"Salpingectomie partielle avec anastomose tubotubaire, par coelioscopie"
"JJFC006";"Salpingectomie totale, par coelioscopie"
"JJFC007";"Kystectomie ovarienne transpariétale, par coelioscopie"
"JJFC008";"Ovariectomie unilatérale, par coelioscopie"
"JJFC010";"Salpingoovariectomie [Annexectomie], par coelioscopie"
"JJFJ001";"Prélèvement d'ovocytes sur un ou deux ovaires, par voie transvaginale avec guidage échographique"
"JJJC001";"Évacuation de collection de l'annexe ou du ligament large, par coelioscopie"
"JJPA003";"Interruption unilatérale ou bilatérale de la perméabilité des trompes utérines, par laparotomie"
"JJPC001";"Salpingotomie avec aspiration de grossesse extra-utérine, par coelioscopie"
"JJPC002";"Ovariotomie exploratrice, par coelioscopie"
"JJPC003";"Interruption unilatérale ou bilatérale de la perméabilité des trompes utérines, par coelioscopie"
"JJSH001";"Occlusion ou reperméabilisation de la trompe utérine, par voie vaginale avec guidage radiologique"
"JKFA015";"Hystérectomie totale, par laparotomie"
"JKFA016";"Myomectomie unique de l'utérus, par laparotomie"
"JKFA018";"Hystérectomie totale, par coelioscopie et abord vaginal"
"JKFA022";"Myomectomie multiple de l'utérus, par laparotomie"
"JKFA025";"Hystérectomie totale avec colpopérinéorraphie antérieure ou postérieure, par abord vaginal"
"JKFA026";"Hystérectomie totale, par abord vaginal"
"JKFA027";"Colpohystérectomie totale élargie aux paramètres, par laparotomie"
"JKFA028";"Hystérectomie totale avec annexectomie unilatérale ou bilatérale, par laparotomie"
"JKFA031";"Conisation du col de l'utérus"
"JKFC004";"Myomectomie de l'utérus sans hystérotomie, par coelioscopie"
"JKFC005";"Hystérectomie totale, par coelioscopie"
"JKFE001";"Exérèse de polype de l'utérus, par hystéroscopie"
"JKFE002";"Résection de myome de l'utérus, par hystéroscopie"
"JKGD003";"Curetage de l'utérus à visée diagnostique"
"JKGD004";"Ablation d'un dispositif intra-utérin, par voie vaginale"
"JKHA001";"Biopsie ou frottis de l'endomètre, sans hystéroscopie"
"JKLD001";"Pose d'un dispositif intra-utérin"
"JKND003";"Destruction de lésion du col de l'utérus, avec laser"
"JKNE001";"Abrasion de la muqueuse de l'utérus [Endométrectomie], par hystéroscopie"
"JKPD001";"Libération d'une sténose récente et totale du col de l'utérus"
"JKPE001";"Section ou résection de cloison utérine, par hystéroscopie"
"JKQE001";"Hystéroscopie avec curetage de la cavité de l'utérus"
"JKQE002";"Hystéroscopie"
"JLAD001";"Séance de dilatation vaginale par bougies"
"JLCA008";"Suture de plaie du vagin"
"JLCA009";"Colpopérinéorraphie postérieure, avec résection d'élytrocèle par abord vaginal"
"JLFD001";"Hyménectomie ou hyménotomie"
"JLGD001";"Ablation ou changement de dispositif intravaginal"
"JLJB001";"Évacuation de collection de la paroi du vagin ou de la vulve, par voie transvaginale ou transcutanée"
"JLMA004";"Création d'un néovagin par transplantation intestinale, par laparotomie"
"JLND002";"Destruction de lésion du vagin, avec laser"
"JLQE001";"Vaginoscopie"
"JMCA002";"Suture immédiate de déchirure obstétricale du vagin, de la vulve ou du périnée [périnée simple]"
"JMMA002";"Vulvopérinéoplastie"
"JMPA001";"Incision de la glande vestibulaire majeure [de Bartholin]"
"JMPA004";"Périnéotomie médiane avec lambeau cutané périnéal"
"JMPA006";"Épisiotomie"
"JMPP001";"Libération non chirurgicale de coalescence des petites lèvres de la vulve"
"JNBD001";"Cerclage du col de l'utérus au cours de la grossesse, par voie transvaginale"
"JNGD002";"Ablation de cerclage du col de l'utérus"
"JNJD001";"Évacuation d'un utérus gravide, au 2ème trimestre de la grossesse"
"JNJD002";"Évacuation d'un utérus gravide par aspiration et/ou curetage, au 1er trimestre de la grossesse"
"JNJP001";"Évacuation d'un utérus gravide par moyen médicamenteux, au 1er trimestre de la grossesse"
"JNMD002";"Révision de la cavité de l'utérus après délivrance naturelle"
"JNQD001";"Monitorage électronique des contractions de l'utérus gravide et/ou du rythme cardiaque du foetus, par voie utérine"
"JNQM001";"Échographie non morphologique de la grossesse avant 11 semaines d'aménorrhée"
"JPGD001";"Extraction manuelle du placenta complet"
"JPHJ002";"Amniocentèse sur un sac amniotique unique, avec guidage échographique"
"JPJB001";"Évacuation de liquide amniotique pour hydramnios, par voie transcutanée"
"JQED002";"Réduction d'une dystocie sévère des épaules"
"JQGA002";"Accouchement par césarienne programmée, par laparotomie"
"JQGA003";"Accouchement par césarienne au cours du travail, par laparotomie"
"JQGA004";"Accouchement par césarienne en urgence, en dehors du travail, par laparotomie"
"JQGD001";"Accouchement unique par le siège par voie naturelle, chez une multipare"
"JQGD003";"Accouchement unique par le siège par voie naturelle avec petite extraction, chez une primipare"
"JQGD004";"Accouchement unique par le siège par voie naturelle, chez une primipare"
"JQGD006";"Extraction instrumentale au détroit inférieur sur présentation céphalique"
"JQGD009";"Extraction instrumentale au détroit moyen sur présentation céphalique"
"JQGD010";"Accouchement céphalique unique par voie naturelle, chez une primipare"
"JQGD012";"Accouchement céphalique unique par voie naturelle, chez une multipare"
"JQGD014";"Extraction sélective de foetus au cours d'une grossesse multiple"
"JQLF003";"Injection d'agent pharmacologique chez le foetus, par ponction du cordon ombilical"
"JQQM001";"Échographie de surveillance de la croissance foetale"
"JQQM003";"Échographie de surveillance de la croissance foetale avec échographie-doppler des artères utérines de la mère et des vaisseaux du foetus"
"JQQM004";"Échographie biométrique et morphologique d'une grossesse unifoetale au 3ème trimestre avec échographie-doppler des artères utérines de la mère"
"JQQM005";"Échographie biométrique et morphologique d'une grossesse multifoetale au 3ème trimestre"
"JQQM009";"Échographie biométrique et morphologique d'une grossesse unifoetale au 3ème trimestre"
"JQQM010";"Échographie biométrique et morphologique d'une grossesse uniembryonnaire au 1er trimestre"
"JQQM011";"Échographie biométrique et morphologique d'une grossesse unifoetale au 2ème trimestre avec échographie-doppler des artères utérines de la mère"
"JQQM012";"Échographie biométrique et morphologique d'une grossesse unifoetale au 2ème trimestre"
"JQQM013";"Échographie biométrique et morphologique d'une grossesse multifoetale au 2ème trimestre"
"JQQP001";"Enregistrement du rythme cardiaque du foetus d'une durée de plus de 20 minutes, en dehors du travail"
"JRQP001";"Débitmétrie mictionnelle"
"JSED001";"Transfert intra-utérin d'embryon, par voie vaginale"
"JVJB001";"Séance d'épuration extrarénale par dialyse péritonéale pour insuffisance rénale chronique"
"JVJB002";"Épuration extrarénale par dialyse péritonéale pour insuffisance rénale aigüe, par 24 heures"
"JVJF001";"Séance d'épuration extrarénale par hémodiafiltration, hémofiltration ou biofiltration sans anticoagulant pour insuffisance rénale chronique"
"JVJF002";"Épuration extrarénale par hémodialyse, hémodiafiltration ou hémofiltration discontinue pour insuffisance rénale aigüe, par 24 heures"
"JVJF004";"Séance d'épuration extrarénale par hémodialyse pour insuffisance rénale chronique"
"JVJF005";"Épuration extrarénale par hémodialyse, hémodiafiltration ou hémofiltration continue pour insuffisance rénale aigüe, par 24 heures"
"JVJF008";"Séance d'épuration extrarénale par hémodiafiltration, hémofiltration ou biofiltration sans acétate pour insuffisance rénale chronique"
"JZNP001";"Destruction de 10 à 50 lésions périnéales"
"JZNP002";"Destruction de moins de 10 lésions périnéales"
"JZQH002";"Urographie intraveineuse sans cysto-urétrographie permictionnelle"
"JZQH003";"Urographie intraveineuse avec cysto-urétrographie permictionnelle"
"KAFA001";"Exérèse de lésion de la loge hypophysaire, par abord transsphénoïdal"
"KAFC001";"Exérèse de lésion de la loge hypophysaire, par vidéochirurgie transsphénoïdale"
"KAQL003";"Scintigraphie aux analogues de la somatostatine"
"KCFA005";"Thyroïdectomie totale, par cervicotomie"
"KCFA007";"Thyroïdectomie totale, par cervicothoracotomie"
"KCFA008";"Lobo-isthmectomie unilatérale de la glande thyroïde, par cervicotomie"
"KCFA009";"Thyroïdectomie subtotale, par cervicothoracotomie"
"KCFA011";"Exérèse d'un kyste du tractus thyréoglosse"
"KCGA001";"Énucléation d'un nodule de la glande thyroïde, par cervicotomie"
"KCJA001";"Évacuation de collection de la loge thyroïdienne, par cervicotomie"
"KCMA001";"Totalisation secondaire de thyroïdectomie, par cervicotomie"
"KCNL001";"Irradiation interne de la glande thyroïde par injection intraveineuse d'iode 131 à une dose supérieure à 1 gigabecquerel [GBq]"
"KCQL003";"Scintigraphie de la glande thyroïde"
"KCQM001";"Échographie transcutanée de la glande thyroïde"
"KDFA001";"Parathyroïdectomie totale avec réimplantation immédiate de parathyroïde"
"KDFA002";"Parathyroïdectomie unique sans exploration des autres sites parathyroïdiens par cervicotomie"
"KDFC001";"Parathyroïdectomie unique sans exploration des autres sites parathyroïdiens par cervicoscopie"
"KDQA001";"Exploration des sites parathyroïdiens cervicaux, par cervicotomie"
"KDQL001";"Scintigraphie des glandes parathyroïdes"
"KEFA001";"Surrénalectomie totale pour phéochromocytome, par abord direct"
"KEFA002";"Surrénalectomie partielle ou totale pour lésion autre qu'un phéochromocytome, par abord direct"
"KEFC001";"Surrénalectomie totale pour phéochromocytome, par coelioscopie ou rétropéritonéoscopie"
"KEFC002";"Surrénalectomie partielle ou totale pour lésion autre qu'un phéochromocytome, par coelioscopie ou rétropéritonéoscopie"
"KEQL001";"Scintigraphie médullosurrénalienne"
"KGQP001";"Mesure de la production respiratoire d'hydrogène [Breath test]"
"LACA001";"Ostéosynthèse de fracture du bord infraorbitaire, à foyer ouvert"
"LACA012";"Ostéosynthèse d'une embarrure de la voûte du crâne"
"LACA013";"Ostéosynthèse de fracture fronto-naso-maxillaire à foyer ouvert, par abord facial"
"LACA014";"Ostéosynthèse de fracture bilatérale de la paroi antérieure du sinus frontal à foyer ouvert, par abord coronal"
"LACA017";"Ostéosynthèse de fracture cranioorbitaire avec fermeture de brèche ostéodurale"
"LACA019";"Ostéosynthèse de fracture unilatérale de la paroi antérieure du sinus frontal à foyer ouvert, par abord facial"
"LAEA003";"Réduction d'une fracture du bord supraorbitaire avec interposition de matériau inerte et/ou autogreffe, par abord sourcilier"
"LAEA007";"Réduction de fracture de l'os nasal, par abord direct"
"LAEP002";"Réduction orthopédique de fracture de l'os nasal [des os propres du nez]"
"LAFA002";"Craniectomie décompressive unilatérale"
"LAFA004";"Exérèse de tumeur de la voûte du crâne avec cranioplastie"
"LAFE001";"Ethmoïdectomie totale unilatérale avec septoplastie nasale et sphénoïdotomie, par endoscopie"
"LAFE003";"Ethmoïdectomie totale unilatérale avec sphénoïdotomie, par endoscopie"
"LAFE005";"Ethmoïdectomie totale bilatérale avec septoplastie nasale et sphénoïdotomie, par endoscopie"
"LAFE006";"Ethmoïdectomie totale bilatérale avec septoplastie nasale, par endoscopie"
"LAFE007";"Ethmoïdectomie antérieure, par endoscopie"
"LAGA003";"Ablation de matériel interne d'ostéosynthèse ou de distraction du massif facial sur un site, par abord direct"
"LAGA004";"Ablation de matériel externe d'ostéosynthèse ou de distraction du crâne et/ou du massif facial"
"LAHH001";"Ponction ou cytoponction du crâne, de son contenu et/ou du massif facial, par voie transcutanée avec guidage scanographique"
"LAHJ002";"Ponction ou cytoponction du crâne, de son contenu et/ou du massif facial, par voie transcutanée avec guidage remnographique [IRM]"
"LALA002";"Pose d'un implant intraosseux crânien ou facial pour fixation d'épithèse ou d'appareillage auditif ostéo-intégré"
"LAMA009";"Cranioplastie de la voûte"
"LAPA006";"Taille et transposition de volet intéressant les orbites"
"LAPA012";"Décompression de l'orbite par effondrement des parois inférieure et/ou médiale, par abord direct"
"LAPA015";"Mise à plat de lésion infectieuse postopératoire de la voûte du crâne [calvaria], par reprise de l'abord précédent"
"LAQJ001";"Remnographie [IRM] de la face, avec injection intraveineuse de produit de contraste"
"LAQK002";"Scanographie unilatérale ou bilatérale de la partie pétreuse de l'os temporal [rocher] et de l'oreille moyenne"
"LAQK003";"Radiographie du crâne, du massif facial et/ou des sinus paranasaux selon 1 ou 2 incidences"
"LAQK005";"Radiographie du crâne, du massif facial et/ou des sinus paranasaux selon 3 incidences ou plus"
"LAQK011";"Scanographie unilatérale ou bilatérale de l'angle pontocérébelleux et/ou du méat auditif interne [conduit auditif interne]"
"LAQK012";"Téléradiographie du crâne et du massif facial selon 1 incidence"
"LAQK013";"Scanographie de la face"
"LBBA005";"Apposition modelante du menton, par abord intrabuccal"
"LBCA001";"Ostéosynthèse d'une fracture extracondylaire bifocale de la mandibule, à foyer ouvert"
"LBCA003";"Ostéosynthèse et/ou suspension faciale pour fracture occlusofaciale de type Le Fort I, par abord direct"
"LBCA006";"Ostéosynthèse d'une fracture extracondylaire unifocale de la mandibule, à foyer ouvert"
"LBCB001";"Ostéosynthèse d'une fracture extracondylaire plurifocale de la mandibule, à foyer fermé"
"LBDD001";"Blocage maxillomandibulaire avec ablation de matériel d'ostéosynthèse, pour traitement de pseudarthrose mandibulaire"
"LBED006";"Réduction orthopédique d'une fracture extracondylaire unifocale de la mandibule , avec blocage maxillomandibulaire"
"LBFA002";"Exérèse de lésion de l'os maxillaire ou du corps de la mandibule de plus de 4 cm de grand axe, par abord intrabuccal"
"LBFA006";"Maxillectomie supérieure sans reconstruction"
"LBFA014";"Exérèse d'une hémivoûte palatine, par abord direct"
"LCFA004";"Exérèse d'un kyste congénital médian du cou"
"LCFA005";"Exérèse d'une fistule ou d'un kyste de la première fente branchiale, avec dissection du nerf facial"
"LCFA008";"Exérèse d'une fistule ou d'un kyste de la deuxième fente branchiale"
"LCQH001";"Scanographie des tissus mous du cou, avec injection intraveineuse de produit de contraste"
"LCQJ001";"Remnographie [IRM] des tissus mous du cou, avec injection intraveineuse de produit de contraste"
"LCQK001";"Scanographie des tissus mous du cou, sans injection intraveineuse de produit de contraste"
"LDCA002";"Ostéosynthèse et/ou arthrodèse postérieure de la jonction occipitocervicale sans exploration du contenu canalaire, par abord postérieur"
"LDCA003";"Ostéosynthèse postérieure de la jonction occipitocervicale avec exploration du contenu canalaire, par abord postérieur"
"LDCA005";"Ostéosynthèse interlamaire de l'atlas et de l'axis, par abord postérieur"
"LDCA006";"Ostéosynthèse transarticulaire et/ou transpédiculaire de l'atlas et de l'axis, par abord postérieur"
"LDCA010";"Ostéosynthèse interlamaire entre deux vertèbres de la colonne cervicale de C2 à C7, par abord postérieur"
"LDCA011";"Ostéosynthèse et/ou arthrodèse antérieure de la colonne vertébrale sans exploration du contenu canalaire, par cervicotomie antérieure ou antérolatérale"
"LDCA013";"Ostéosynthèse de la colonne vertébrale avec exploration du contenu canalaire, par cervicotomie antérieure ou antérolatérale"
"LDEP002";"Réduction orthopédique extemporanée de lésion traumatique de la colonne vertébrale cervicale par traction"
"LDFA001";"Exérèse d'une hernie discale de la colonne vertébrale cervicale, par abord postérieur ou postérolatéral"
"LDFA004";"Laminarthrectomie cervicale totale unilatérale avec ostéosynthèse, par abord postérieur"
"LDFA005";"Laminarthrectomie cervicale totale unilatérale sans ostéosynthèse, par abord postérieur"
"LDFA007";"Exérèse de plusieurs hernies discales de la colonne vertébrale avec ostéosynthèse et/ou arthrodèse, par cervicotomie antérieure ou antérolatérale"
"LDFA008";"Exérèse d'une hernie discale de la colonne vertébrale avec ostéosynthèse et/ou arthrodèse, par cervicotomie antérieure ou antérolatérale"
"LDFA010";"Spondylectomie totale, par cervicotomie antérieure ou antérolatérale et abord postérieur"
"LDFA011";"Exérèse d'une hernie discale de la colonne vertébrale, par cervicotomie antérieure ou antérolatérale"
"LDFA012";"Corporectomie vertébrale totale, par cervicotomie antérieure ou antérolatérale"
"LDHA002";"Biopsie osseuse ou discale de la colonne vertébrale, par cervicotomie antérolatérale"
"LDMP001";"Confection d'un appareil rigide d'immobilisation de la colonne vertébrale cervicale sans appui occipitomentonnier ou fronto-occipito-mentonnier"
"LDMP003";"Confection d'un appareil rigide d'immobilisation de la colonne vertébrale cervicale et thoracique"
"LDPA001";"Décompression médullaire pour malformation de la jonction occipitocervicale, avec ouverture durale, par abord postérieur"
"LDPA003";"Décompression médullaire pour malformation de la jonction occipitocervicale, sans ouverture durale, par abord postérieur"
"LDPA006";"Corporotomie [Somatotomie] d'une vertèbre pour décompression médullaire, par cervicotomie antérieure ou antérolatérale"
"LDPA007";"Corporotomie [Somatotomie] d'une vertèbre pour décompression médullaire, avec arthrodèse et/ou ostéosynthèse, par cervicotomie antérieure ou antérolatérale"
"LDPA008";"Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale, avec arthrodèse et correction instrumentale, par cervicotomie"
"LDPA010";"Ostéotomie ou arthrectomie occipitoaxoïdienne pour déformation rigide de la colonne vertébrale, avec arthrodèse et correction instrumentale, par abord transbuccal ou cervicotomie"
"LDQK001";"Radiographie du rachis cervical selon 1 ou 2 incidences"
"LDQK002";"Radiographie du rachis cervical selon 3 incidences ou plus"
"LECA001";"Ostéosynthèse de la colonne vertébrale avec exploration du contenu canalaire, par thoraco-phréno-laparotomie"
"LECA003";"Ostéosynthèse et/ou arthrodèse antérieure ou épiphysiodèse de la colonne vertébrale sans exploration du contenu canalaire, par thoracotomie"
"LECA006";"Ostéosynthèse et/ou arthrodèse antérieure de la colonne vertébrale sans exploration du contenu canalaire, par thoraco-phréno-laparotomie"
"LECC001";"Ostéosynthèse et/ou arthrodèse antérieure ou épiphysiodèse de la colonne vertébrale, par thoracoscopie"
"LEFA001";"Spondylectomie thoracique totale, par abord postérieur"
"LEFA007";"Corporectomie vertébrale partielle, par thoraco-phréno-laparotomie"
"LEFC001";"Corporectomie vertébrale partielle ou totale, par thoracoscopie"
"LEFC002";"Exérèse d'une hernie discale de la colonne vertébrale, par thoracoscopie"
"LEMP001";"Confection d'un appareil rigide d'immobilisation de la colonne vertébrale thoracique et lombaire"
"LEPA006";"Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale, avec arthrodèse, sans correction instrumentale, sur plus de 3 vertèbres, par thoracotomie"
"LEQK001";"Radiographie du rachis thoracique"
"LFAA001";"Recalibrage unilatéral de la colonne vertébrale lombaire ou lombosacrée, par abord postérieur"
"LFAA002";"Recalibrage bilatéral de la colonne vertébrale lombaire ou lombosacrée, par abord postérieur"
"LFCA001";"Ostéosynthèse de la jonction lombosacrée avec exploration du contenu canalaire, par abord postérieur"
"LFCA002";"Ostéosynthèse de la jonction lombosacrée sans exploration du contenu canalaire, par abord postérieur"
"LFCA004";"Ostéosynthèse de la colonne vertébrale avec exploration du contenu canalaire, par lombotomie ou laparotomie"
"LFCA005";"Ostéosynthèse et/ou arthrodèse antérieure de la colonne vertébrale sans exploration du contenu canalaire, par lombotomie ou laparotomie"
"LFCC001";"Ostéosynthèse et/ou arthrodèse antérieure de la colonne vertébrale, par coelioscopie ou rétropéritonéoscopie"
"LFDA001";"Arthrodèse postérieure ou postérolatérale d'un spondylolisthésis lombaire sans réduction, avec libération radiculaire et ostéosynthèse, par abord postérieur"
"LFDA003";"Arthrodèse postérieure ou postérolatérale d'un spondylolisthésis lombaire sans réduction, avec libération radiculaire, sans ostéosynthèse, par abord postérieur"
"LFDA004";"Arthrodèse intersomatique de la colonne vertébrale lombaire ou lombosacrée avec arthrodèse postérolatérale, par abord postérieur"
"LFDA006";"Arthrodèse postérieure ou postérolatérale d'un spondylolisthésis lombaire à grand déplacement avec réduction, avec ostéosynthèse, par abord postérieur"
"LFDA007";"Arthrodèse postérieure ou postérolatérale d'un spondylolisthésis lombaire sans réduction, sans libération radiculaire, avec ostéosynthèse, par abord postérieur"
"LFDA012";"Arthrodèse intersomatique ou épiphysiodèse de la colonne vertébrale lombaire ou lombosacrée, par abord postérieur"
"LFDA013";"Arthrodèse d'un spondylolisthésis lombaire sans réduction, par laparotomie"
"LFFA001";"Laminarthrectomie lombaire ou lombosacrée totale bilatérale, par abord postérieur"
"LFFA002";"Exérèse d'une hernie discale de la colonne vertébrale lombaire, par abord postérieur ou postérolatéral"
"LFFA003";"Exérèse de plusieurs hernies discales de la colonne vertébrale lombaire, par abord postérieur ou postérolatéral"
"LFFA004";"Exérèse d'une récidive d'une hernie discale de la colonne vertébrale lombaire préalablement opérée par abord direct, par abord postérieur"
"LFFA005";"Laminarthrectomie lombaire ou lombosacrée totale unilatérale avec ostéosynthèse, par abord postérieur"
"LFFA006";"Laminarthrectomie lombaire ou lombosacrée totale unilatérale sans ostéosynthèse, par abord postérieur"
"LFFA007";"Exérèse d'une récidive d'une hernie discale de la colonne vertébrale lombaire préalablement opérée par abord direct, avec ostéosynthèse et/ou arthrodèse, par abord postérieur"
"LFFA009";"Corporectomie vertébrale partielle, par lombotomie ou laparotomie"
"LFFA013";"Corporectomie vertébrale totale, par lombotomie ou laparotomie"
"LFFC002";"Exérèse d'une hernie discale de la colonne vertébrale, par rétropéritonéoscopie"
"LFPA001";"Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale, avec arthrodèse et correction instrumentale, sur 1 à 3 vertèbres, par lombotomie ou laparotomie"
"LFPA002";"Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale, avec arthrodèse et correction instrumentale, sur plus de 3 vertèbres, par lombotomie ou laparotomie"
"LFQK001";"Radiographie du rachis lombaire selon 4 incidences ou plus"
"LFQK002";"Radiographie du rachis lombaire selon 1 à 3 incidences"
"LGFA002";"Exérèse proximale du sacrum [Sacrectomie S1 et/ou S2], par abord antérieur ou postérieur"
"LGQK001";"Radiographie du sacrum et/ou du coccyx"
"LHCA001";"Ostéosynthèse de la colonne vertébrale sans exploration du contenu canalaire, par un abord direct antérieur et un abord direct postérieur"
"LHCA002";"Ostéosynthèse postérieure de la colonne vertébrale sans exploration du contenu canalaire, par abord postérieur"
"LHCA010";"Ostéosynthèse postérieure de la colonne vertébrale avec exploration du contenu canalaire, par abord postérieur"
"LHCA016";"Ostéosynthèse postérieure de la colonne vertébrale sans exploration du contenu canalaire avec arthrodèse, par abord postérieur"
"LHDA001";"Arthrodèse postérieure ou épiphysiodèse de la colonne vertébrale sans exploration du contenu canalaire, par abord postérieur"
"LHDA002";"Arthrodèse intersomatique de la colonne vertébrale avec arthrodèse postérieure, par abord postérolatéral"
"LHEB003";"Traction d'attente de la colonne vertébrale cervicale par halo crânien ou étrier"
"LHEP002";"Réduction orthopédique extemporanée d'une scoliose ou d'une cyphose par manoeuvres externes, avec confection d'un corset rigide"
"LHFA013";"Arthrectomie totale bilatérale et/ou ostéotomie postérieure pour déformation rigide de la colonne vertébrale, avec arthrodèse, correction instrumentale et ostéotomie antérieure transpédiculaire, sur 6 à 9 vertèbres, par abord postérieur"
"LHFA016";"Laminectomie vertébrale sans exploration du contenu intradural, par abord postérieur ou postérolatéral"
"LHFA019";"Laminectomie vertébrale avec exploration du contenu intradural et plastie de la dure-mère, par abord postérieur ou postérolatéral"
"LHFA024";"Laminectomie vertébrale avec exploration du contenu intradural sans plastie de la dure-mère, par abord postérieur ou postérolatéral"
"LHFA025";"Arthrectomie totale bilatérale et/ou ostéotomie postérieure pour déformation rigide de la colonne vertébrale, avec arthrodèse, correction instrumentale et ostéotomie antérieure transpédiculaire, sur plus de 9 vertèbres, par abord postérieur"
"LHFA027";"Arthrectomie totale bilatérale et/ou ostéotomie postérieure pour déformation rigide de la colonne vertébrale, avec arthrodèse, correction instrumentale et ostéotomie antérieure transpédiculaire, sur 3 à 5 vertèbres, par abord postérieur"
"LHFA028";"Arthrectomie totale bilatérale et/ou ostéotomie postérieure pour déformation rigide de la colonne vertébrale, avec arthrodèse et correction instrumentale, sur plus de 9 vertèbres, par abord postérieur"
"LHFA029";"Arthrectomie totale bilatérale et/ou ostéotomie postérieure pour déformation rigide de la colonne vertébrale, avec arthrodèse et correction instrumentale, sur 6 à 9 vertèbres, par abord postérieur"
"LHFA031";"Exérèse totale de l'arc vertébral, par abord postérieur"
"LHGA004";"Ablation de matériel d'ostéosynthèse de la colonne vertébrale sur plus de 9 vertèbres, par abord postérieur"
"LHGA006";"Ablation de matériel d'ostéosynthèse de la colonne vertébrale sur 6 à 9 vertèbres, par abord postérieur"
"LHGA007";"Ablation de matériel d'ostéosynthèse de la colonne vertébrale sur 2 à 5 vertèbres, par abord postérieur"
"LHHA006";"Biopsie de l'arc vertébral, par abord postérieur"
"LHHA007";"Biopsie du corps vertébral ou du disque intervertébral, par abord postérieur ou transpédiculaire"
"LHHH002";"Biopsie de lésion osseuse ou discale de la colonne vertébrale, par voie transcutanée avec guidage scanographique"
"LHHH003";"Biopsie de lésion osseuse ou discale de la colonne vertébrale, par voie transcutanée avec guidage radiologique"
"LHKA001";"Remplacement du disque intervertébral par prothèse"
"LHLB001";"Infiltration thérapeutique d'articulation vertébrale postérieure, par voie transcutanée sans guidage"
"LHLB002";"Infiltration thérapeutique des ligaments périvertébraux, par voie transcutanée"
"LHLH001";"Infiltration anesthésique d'articulation vertébrale postérieure avec guidage radiologique, avec évaluation diagnostique et pronostique"
"LHLH003";"Infiltration thérapeutique d'articulation vertébrale postérieure, par voie transcutanée avec guidage radiologique"
"LHMA003";"Correction instrumentale d'une déformation souple de la colonne vertébrale, avec arthrodèse sur 6 à 9 vertèbres, par abord postérieur"
"LHMA006";"Correction instrumentale d'une déformation souple de la colonne vertébrale, avec arthrodèse sur 3 à 5 vertèbres, par abord postérieur"
"LHMA007";"Laminoplastie vertébrale sans exploration du contenu intradural, par abord postérieur ou postérolatéral"
